NCAA BIG FIVE CONFERENCES
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# SEC,,,,,,,,,,,,,
TEAM,SEC,West,Alabama Crimson Tide,ALA,95,TEN,,,,,,,
TEAM,SEC,West,Texas A&M Aggies,TAMU,85,SCAR,,,,,,,
TEAM,SEC,West,Louisiana State Tigers,LSU,85,UF,,,,,,,
TEAM,SEC,West,Auburn Tigers,AUB,85,UGA,,,,,,,
TEAM,SEC,West,Mississippi State Bulldogs,MSST,75,UK,,,,,,,
TEAM,SEC,West,Ole Miss Rebels,MISS,75,VAN,,,,,,,
TEAM,SEC,West,Arkansas Razorbacks,ARK,70,MIZ,,,,,,,
TEAM,SEC,East,Georgia Bulldogs,UGA,90,AUB,,,,,,,
TEAM,SEC,East,Florida Gators,UF,90,LSU,,,,,,,
TEAM,SEC,East,Tennessee Volunteers,TEN,80,ALA,,,,,,,
TEAM,SEC,East,South Carolina Gamecocks,SCAR,75,TAMU,,,,,,,
TEAM,SEC,East,Missouri Tigers,MIZ,75,ARK,,,,,,,
TEAM,SEC,East,Kentucky Wildcats,UK,70,MSST,,,,,,,
TEAM,SEC,East,Vanderbilt Commodores,VAN,60,MISS,,,,,,,
# ACC,,,,,,,,,,,,,
TEAM,ACC,Atlantic,Clemson Tigers,CLEM,95,GT,,,,,,,
TEAM,ACC,Atlantic,Florida State Seminoles,FSU,90,UM,,,,,,,
TEAM,ACC,Atlantic,Louisville Cardinals,LOU,80,UVA,,,,,,,
TEAM,ACC,Atlantic,North Carolina State Wolfpack,NCST,80,UNC,,,,,,,
TEAM,ACC,Atlantic,Syracuse Orange,SYR,75,PITT,,,,,,,
TEAM,ACC,Atlantic,Boston College Eagles,BC,70,VT,,,,,,,
TEAM,ACC,Atlantic,Wake Forest Demon Deacons,WF,60,DUKE,,,,,,,
TEAM,ACC,Coastal,Miami Hurricanes,UM,90,FSU,,,,,,,
TEAM,ACC,Coastal,Virginia Tech Hokies,VT,85,BC,,,,,,,
TEAM,ACC,Coastal,North Carolina Tar Heels,UNC,80,NCST,,,,,,,
TEAM,ACC,Coastal,Pittsburgh Panthers,PITT,75,SYR,,,,,,,
TEAM,ACC,Coastal,Georgia Tech Yellow Jackets,GT,75,CLEM,,,,,,,
TEAM,ACC,Coastal,Duke Blue Devils,DUKE,65,WF,,,,,,,
TEAM,ACC,Coastal,Virginia Cavaliers,UVA,60,LOU,,,,,,,
# B10,,,,,,,,,,,,,
TEAM,Big Ten,West,Wisconsin Badgers,WIS,90,OSU,,,,,,,
TEAM,Big Ten,West,Nebraska Cornhuskers,NEB,85,MICH,,,,,,,
TEAM,Big Ten,West,Iowa Hawkeyes,IOWA,80,PSU,,,,,,,
TEAM,Big Ten,West,Northwestern Wildcats,NW,75,MSU,,,,,,,
TEAM,Big Ten,West,Purdue Boilermakers,PUR,70,MD,,,,,,,
TEAM,Big Ten,West,Minnesota Golden Gophers,MINN,65,IND,,,,,,,
TEAM,Big Ten,West,Illinois Fighting Illini,ILL,60,RUT,,,,,,,
TEAM,Big Ten,East,Ohio State Buckeyes,OSU,95,WIS,,,,,,,
TEAM,Big Ten,East,Michigan Wolverines,MICH,90,NEB,,,,,,,
TEAM,Big Ten,East,Penn State Nittany Lions,PSU,85,IOWA,,,,,,,
TEAM,Big Ten,East,Michigan State Spartans,MSU,85,NW,,,,,,,
TEAM,Big Ten,East,Maryland Terrapins,MD,75,PUR,,,,,,,
TEAM,Big Ten,East,Indiana Hoosiers,IND,65,MINN,,,,,,,
TEAM,Big Ten,East,Rutgers Scarlet Knights,RUT,55,ILL,,,,,,,
# Big12,,,,,,,,,,,,,
TEAM,Big 12,Sheriff,Texas Longhorns,TEX,90,OKL,,,,,,,
TEAM,Big 12,Sheriff,Texas Horned Frogs,TCU,80,OKST,,,,,,,
TEAM,Big 12,Sheriff,Boise State Broncos,BSU,80,KSU,,,,,,,
TEAM,Big 12,Sheriff,Texas Tech Red Raiders,TTU,75,WVU,,,,,,,
TEAM,Big 12,Sheriff,Baylor Bears,BAY,70,ARMY,,,,,,,
TEAM,Big 12,Sheriff,Colorado State Rams,CSU,60,WYO,,,,,,,
TEAM,Big 12,Sheriff,Rice Owls,RICE,50,KU,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma Sooners,OKL,95,TEX,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma State Cowboys,OKST,85,TCU,,,,,,,
TEAM,Big 12,Outlaw,Kansas State Wildcats,KSU,80,BSU,,,,,,,
TEAM,Big 12,Outlaw,West Virginia Mountaineers,WVU,80,TTU,,,,,,,
TEAM,Big 12,Outlaw,Army Black Knights,ARMY,70,BAY,,,,,,,
TEAM,Big 12,Outlaw,Wyoming Cowboys,WYO,60,CSU,,,,,,,
TEAM,Big 12,Outlaw,Kansas Jayhawks,KU,50,RICE,,,,,,,
# Pac 12,,,,,,,,,,,,,
TEAM,Pac 12,North,Oregon Ducks,ORE,90,UTAH,,,,,,,
TEAM,Pac 12,North,Notre Dame Fighting Irish,ND,90,USC,,,,,,,
TEAM,Pac 12,North,Washington Huskies,WASH,85,ARIZ,,,,,,,
TEAM,Pac 12,North,Stanford Cardinal,STAN,85,BYU,,,,,,,
TEAM,Pac 12,North,Washington State Cougars,WSU,75,ASU,,,,,,,
TEAM,Pac 12,North,California Golden Bears,CAL,70,UCLA,,,,,,,
TEAM,Pac 12,North,Oregon State Beavers,ORST,60,COLO,,,,,,,
TEAM,Pac 12,South,Southern California Trojans,USC,90,ND,,,,,,,
TEAM,Pac 12,South,Los Angeles Bruins,UCLA,85,CAL,,,,,,,
TEAM,Pac 12,South,Utah Utes,UTAH,75,ORE,,,,,,,
TEAM,Pac 12,South,Brigham Young Cougars,BYU,75,STAN,,,,,,,
TEAM,Pac 12,South,Arizona Wildcats,ARIZ,75,WASH,,,,,,,
TEAM,Pac 12,South,Arizona State Sun Devils,ASU,70,WSU,,,,,,,
TEAM,Pac 12,South,Colorado Buffaloes,COLO,65,ORST,,,,,,,
# AAC,,,,,,,,,,,,,
TEAM,AAC,West,Houston Cougars,HOU,80,UCF,,,,,,,
TEAM,AAC,West,Memphis Tigers,MEM,75,CIN,,,,,,,
TEAM,AAC,West,South Florida Bulls,SMU,70,USF,,,,,,,
TEAM,AAC,West,Appalachian State Mountaineers,APP,70,TROY,,,,,,,
TEAM,AAC,West,Navy Midshipmen,NAVY,70,TEM,,,,,,,
TEAM,AAC,West,Tulane Green Wave,TULN,60,ECU,,,,,,,
TEAM,AAC,West,Tulsa Golden Hurricane,TLSA,55,CONN,,,,,,,
TEAM,AAC,East,Central Florida Knights,UCF,80,HOU,,,,,,,
TEAM,AAC,East,Cincinnati Bearcats,CIN,75,MEM,,,,,,,
TEAM,AAC,East,South Florida Bulls,USF,75,SMU,,,,,,,
TEAM,AAC,East,Troy Trojans,TROY,70,APP,,,,,,,
TEAM,AAC,East,Temple Owls,TEM,70,NAVY,,,,,,,
TEAM,AAC,East,East Carolina Pirates,ECU,65,TULN,,,,,,,
TEAM,AAC,East,Connecticut Huskies,CONN,55,TLSA,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
# COACH,ALA,Nick Saban,65,90,90,90,90,Pro Style,Conservative,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,ALA,Mike Locksley,55,90,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,ALA,Kirby Smart,55,95,LB,Inside Run,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Stars,,,,,,
# PLAYER,ALA,QB,Tua Tagovailoa,So,72,200,5,,,,,,
# OR:,Team,Position,Name,Year (String),Height,Weight,Potential,Football IQ,Durability,Attribute1,Attribute2,Attribute3,Attribute4
PLAYER,ALA,QB,Jalen Hurts,Jr,72,200,75,90,100,75,85,95,95
END_FILE,,,,,,,,,,,,,
