[START_CONFERENCES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIG SKY,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIG SOUTH,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVY LEAGUE,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAC,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVFC,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEC,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVC,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFL,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATRIOT LEAGUE,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAC,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCON,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHLAND,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONFERENCES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[START_TEAMS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weber State,WEB,BIG SKY,82,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento State,SAC,BIG SKY,84,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana State,MTST,BIG SKY,81,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,MON,BIG SKY,81,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Washington,EWU,BIG SKY,84,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland State,PRST,BIG SKY,50,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,IDHO,BIG SKY,50,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Poly,CP,BIG SKY,78,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Utah,SUU,BIG SKY,47,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Arizona,NAU,BIG SKY,49,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Colorado,UNCO,BIG SKY,42,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho State,IDST,BIG SKY,42,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Davies,UCD,BIG SKY,80,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
